Pièce		Occurrence	Traduction anglaise	Type	Zone géographique	Continent	Coordonnées	ID	Remarque	Auteur	Titre	Genre	Représentation	Décennie	Publication	Décennie			
BOYER_ARTAXERCE	2	Babylone	Babylon	Ville	Orient	Asie	32.5387834636, 44.4236176449	https://pleiades.stoa.org/places/893951		Boyer, Claude	Artaxerce	Tragédie	1682	80	1683	80	http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml	https://catalogue.bnf.fr/ark:/12148/cb30152113p	
BOYER_ARTAXERCE	2	Asie	Asia	Continent		Asie	29.84064, 89.29688	http://www.geonames.org/6255147		Boyer, Claude	Artaxerce	Tragédie	1682	80	1683	80	http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml	https://catalogue.bnf.fr/ark:/12148/cb30152113p	
																			
CORNEILLEP_ANDROMEDE	1	France	France	Pays	France	Europe	46, 2	http://www.geonames.org/3017382		Corneille, Pierre	Andromède	Tragédie	1650	50	1651	50	http://dramacode.github.io/tcp5/corneillep_andromede.xml	https://catalogue.bnf.fr/ark:/12148/cb30271433g	https://gallica.bnf.fr/ark:/12148/bpt6k70397f
CORNEILLEP_ANDROMEDE	1	Italie	Italy	Pays	Italie	Europe	42.83333, 12.83333	http://www.geonames.org/3175395		Corneille, Pierre	Andromède	Tragédie	1650	50	1651	50	http://dramacode.github.io/tcp5/corneillep_andromede.xml	https://catalogue.bnf.fr/ark:/12148/cb30271433g	https://gallica.bnf.fr/ark:/12148/bpt6k70397f
CORNEILLEP_ANDROMEDE	2	Éryce	Erice	Ville	Italie	Europe	38.03704, 12.58653	http://www.geonames.org/6539112	Est-ce la bonne ville?	Corneille, Pierre	Andromède	Tragédie	1650	50	1651	50	http://dramacode.github.io/tcp5/corneillep_andromede.xml	https://catalogue.bnf.fr/ark:/12148/cb30271433g	https://gallica.bnf.fr/ark:/12148/bpt6k70397f
CORNEILLEP_ANDROMEDE	1	Paphe	Paphos	Ville	Grèce	Europe	34.757212, 32.406593	https://pleiades.stoa.org/places/707586		Corneille, Pierre	Andromède	Tragédie	1650	50	1651	50	http://dramacode.github.io/tcp5/corneillep_andromede.xml	https://catalogue.bnf.fr/ark:/12148/cb30271433g	https://gallica.bnf.fr/ark:/12148/bpt6k70397f
CORNEILLEP_ANDROMEDE	1	Amathonte	Amathus	Ville	Grèce	Europe	34.71292, 33.1429	http://www.geonames.org/146822		Corneille, Pierre	Andromède	Tragédie	1650	50	1651	50	http://dramacode.github.io/tcp5/corneillep_andromede.xml	https://catalogue.bnf.fr/ark:/12148/cb30271433g	https://gallica.bnf.fr/ark:/12148/bpt6k70397f
CORNEILLEP_ANDROMEDE	1	Cythère	Cythera	Île	Grèce	Europe	36.2400122314, 22.9829428015	https://pleiades.stoa.org/places/570186		Corneille, Pierre	Andromède	Tragédie	1650	50	1651	50	http://dramacode.github.io/tcp5/corneillep_andromede.xml	https://catalogue.bnf.fr/ark:/12148/cb30271433g	https://gallica.bnf.fr/ark:/12148/bpt6k70397f
																			
CORNEILLEP_CID	7	Castille	Castile	Région	Péninsule Ibérique	Europe	41, -3.5	http://www.geonames.org/3125826		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
CORNEILLEP_CID	4	Grenade	Granada	Ville	Péninsule Ibérique	Europe	12.11667, -61.66667	http://www.geonames.org/3580239		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
CORNEILLEP_CID	3	Aragon	Aragon	Région	Péninsule Ibérique	Europe	41.5, -0.66667	http://www.geonames.org/3336899		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
CORNEILLEP_CID	3	Espagne	Spain	Pays	Péninsule Ibérique	Europe	40, -4	http://www.geonames.org/2510769		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
CORNEILLEP_CID	1	Portugal	Portugal	Pays	Péninsule Ibérique	Europe	39.6945, -8.13057	http://www.geonames.org/2264397		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
CORNEILLEP_CID	1	Andalousie	Andalusia	Région	Péninsule Ibérique	Europe	37.6, -4.5	http://www.geonames.org/2593109		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
CORNEILLEP_CID	1	Séville	Seville	Ville	Péninsule Ibérique	Europe	37.38283, -5.97317	http://www.geonames.org/2510911		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
CORNEILLEP_CID	1	Tolède	Toledo	Ville	Péninsule Ibérique	Europe	39.8581, -4.02263	http://www.geonames.org/2510409		Corneille, Pierre	Le Cid	Tragi-comédie	1637	30	1637	30	http://dramacode.github.io/tcp5/corneillep_cid.xml	https://catalogue.bnf.fr/ark:/12148/cb30271451d	https://gallica.bnf.fr/ark:/12148/bpt6k70138c
																			
CORNEILLEP_ILLUSIONCOMIQUE	1	Pô	Po	Fleuve	Italie	Europe	44.97472, 12.05444	http://www.geonames.org/3170550		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Rhin	Rhine	Fleuve	Allemagne	Europe	51.97198, 5.91545	http://www.geonames.org/2748179		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Meuse	Meuse	Fleuve	France	Europe	51.71278, 4.8345	http://www.geonames.org/2751306		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Seine	Seine	Fleuve	France	Europe	49.44469, 0.38177	http://www.geonames.org/2975252		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	1	Tage	Tagus	Fleuve	Péninsule Ibérique	Europe	38.6764, -9.27933	http://www.geonames.org/2262787		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	2	Bretagne	Brittany	Région	France	Europe	48.16667, -2.83333	http://www.geonames.org/3030293		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
CORNEILLEP_ILLUSIONCOMIQUE	4	Paris	Paris	Ville	France	Europe	48.85341, 2.3488	http://www.geonames.org/2988507		Corneille, Pierre	Illusion comique	Comédie	1636	30	1639		http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	https://catalogue.bnf.fr/ark:/12148/cb30271704q	https://gallica.bnf.fr/ark:/12148/bpt6k70407x
