piece,occurrence,traduction_anglaise,type,zone_geographique,continent,lat,lng,auteur_2,titre,genre,representation,decennie,publication,decennie2,column2,column3,column4
BOYER_AMOURSJUPITERSEMELE,Europe,Europa,Continent,,Europe,48.69096,9.14062,Claude Boyer,Les Amours de Jupiter et Sémélé,Tragédie,1666,60,1666,60,http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml,https://catalogue.bnf.fr/ark:/12148/cb30152109f,https://gallica.bnf.fr/ark:/12148/bpt6k83827k
BOYER_AMOURSJUPITERSEMELE,Parnasse,Mount Parnassus,Montagne,Grèce,Europe,38.535435,22.621902,Claude Boyer,Les Amours de Jupiter et Sémélé,Tragédie,1666,60,1666,60,http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml,https://catalogue.bnf.fr/ark:/12148/cb30152109f,https://gallica.bnf.fr/ark:/12148/bpt6k83827k
BOYER_AMOURSJUPITERSEMELE,Argos,Argos,Ville,Grèce,Europe,37.631561,22.719464,Claude Boyer,Les Amours de Jupiter et Sémélé,Tragédie,1666,60,1666,60,http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml,https://catalogue.bnf.fr/ark:/12148/cb30152109f,https://gallica.bnf.fr/ark:/12148/bpt6k83827k
BOYER_AMOURSJUPITERSEMELE,Thèbes,Thebes,Ville,Grèce,Europe,38.319156,23.317577,Claude Boyer,Les Amours de Jupiter et Sémélé,Tragédie,1666,60,1666,60,http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml,https://catalogue.bnf.fr/ark:/12148/cb30152109f,https://gallica.bnf.fr/ark:/12148/bpt6k83827k
BOYER_ARISTODEME,Sparte,Sparta,Ville,Grèce,Europe,37.077905,22.4272985,Claude Boyer,Aristodème,Tragédie,1647,40,1648,40,http://dramacode.github.io/tcp5/boyer_aristodeme.xml,https://catalogue.bnf.fr/ark:/12148/cb30152112b,https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME,Messénie,Messinia,Région,Grèce,Europe,37.25,21.83333,Claude Boyer,Aristodème,Tragédie,1647,40,1648,40,http://dramacode.github.io/tcp5/boyer_aristodeme.xml,https://catalogue.bnf.fr/ark:/12148/cb30152112b,https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME,mont Ithomé,Ithome,Montagne,Grèce,Europe,37.179299,21.92169,Claude Boyer,Aristodème,Tragédie,1647,40,1648,40,http://dramacode.github.io/tcp5/boyer_aristodeme.xml,https://catalogue.bnf.fr/ark:/12148/cb30152112b,https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME,Messène,Messene,Ville,Grèce,Europe,37.179299,21.92169,Claude Boyer,Aristodème,Tragédie,1647,40,1648,40,http://dramacode.github.io/tcp5/boyer_aristodeme.xml,https://catalogue.bnf.fr/ark:/12148/cb30152112b,https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME,Haly,Kızılırmak,Fleuve,Anatolie,Asie,41.6767598,35.9295291,Claude Boyer,Aristodème,Tragédie,1647,40,1648,40,http://dramacode.github.io/tcp5/boyer_aristodeme.xml,https://catalogue.bnf.fr/ark:/12148/cb30152112b,https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARTAXERCE,Perse,Persia,Pays,Orient,Asie,32,53,Claude Boyer,Artaxerce,Tragédie,1682,80,1683,80,http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml,https://catalogue.bnf.fr/ark:/12148/cb30152113p,
BOYER_ARTAXERCE,Babylone,Babylon,Ville,Orient,Asie,32.5387834636,44.4236176449,Claude Boyer,Artaxerce,Tragédie,1682,80,1683,80,http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml,https://catalogue.bnf.fr/ark:/12148/cb30152113p,
BOYER_ARTAXERCE,Asie,Asia,Continent,,Asie,29.84064,89.29688,Claude Boyer,Artaxerce,Tragédie,1682,80,1683,80,http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml,https://catalogue.bnf.fr/ark:/12148/cb30152113p,
SCUDERY_MORTDECESAR,Seine,Seine,Fleuve,France,Europe,49.44469,0.38177,Georges de Scudéry,La Mort de César,Tragédie,1636,30,1637,30,http://dramacode.github.io/tcp5/scudery_mortdecesar.xml,https://catalogue.bnf.fr/ark:/12148/cb313417528,https://gallica.bnf.fr/ark:/12148/bpt6k71623z
SCUDERY_MORTDECESAR,Danube,Danube,Fleuve,,Europe,45.33333,29.66667,Georges de Scudéry,La Mort de César,Tragédie,1636,30,1637,30,http://dramacode.github.io/tcp5/scudery_mortdecesar.xml,https://catalogue.bnf.fr/ark:/12148/cb313417528,https://gallica.bnf.fr/ark:/12148/bpt6k71623z
SCUDERY_MORTDECESAR,Gange,Ganges,Fleuve,Extrême-Orient,Asie,23.36667,90.53333,Georges de Scudéry,La Mort de César,Tragédie,1636,30,1637,30,http://dramacode.github.io/tcp5/scudery_mortdecesar.xml,https://catalogue.bnf.fr/ark:/12148/cb313417528,https://gallica.bnf.fr/ark:/12148/bpt6k71623z
SCUDERY_MORTDECESAR,Rome,Roma,Ville,Italie,Europe,41.891775,12.486137,Georges de Scudéry,La Mort de César,Tragédie,1636,30,1637,30,http://dramacode.github.io/tcp5/scudery_mortdecesar.xml,https://catalogue.bnf.fr/ark:/12148/cb313417528,https://gallica.bnf.fr/ark:/12148/bpt6k71623z
